classname,RCo,HCo,SCo,NoR,NoH,NoS,NoGH,NoEH,RoTLoC,RoCLoC,RoFLoC,HDoS,EHMU
HelloMetrix::ForceMetrics,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.3889,0.2222,0.0,0.0,1.0
HelloMetrix::HelloMetrix,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333,0.1667,0.0,0.0,1.0
