classname,RCo,HCo,SCo,NoR,NoH,NoS,NoGH,NoEH,RoTLoC,RoCLoC,RoFLoC,HDoS,EHMU
HelloMetrix::ForceMetrics,1.0,2.0,3.0,0.0909,0.1818,0.2727,1.0,1.0,0.2045,0.0909,0.0455,0.0,1.0
HelloMetrix::HelloMetrix,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333,0.1667,0.0,0.0,1.0
